index,timestamp_utc,delta_ms,direction,group,command,cmd_value,kind,status,decoded,payload_len,payload_hex
0,2026-08-27 19:59:48.654385,,APP->RADIO,basic,GET_DEV_INFO,4,request,,payload=03,1,03
1,2026-08-27 19:59:48.803690,149.305,RADIO->APP,basic,GET_DEV_INFO,4,response,success,payload=00 06 01 04 01 00 90 d0 68 1e 54,11,00 06 01 04 01 00 90 d0 68 1e 54
2,2026-08-27 19:59:48.807753,4.063,APP->RADIO,basic,SET_POSITION,32,request,,payload=14 c7 2e c7 cd f2 00 2d 00 00 00 5a 6a 80 c5 34 00 06,18,14 c7 2e c7 cd f2 00 2d 00 00 00 5a 6a 80 c5 34 00 06
3,2026-08-27 19:59:48.807753,0.000,APP->RADIO,basic,GET_VOLUME,22,request,,,0,
4,2026-08-27 19:59:48.854140,46.387,APP->RADIO,basic,REGISTER_NOTIFICATION,6,request,,payload=01 0e,2,01 0e
5,2026-08-27 19:59:48.859606,5.466,APP->RADIO,basic,READ_SETTINGS,10,request,,,0,
6,2026-08-27 19:59:48.859606,0.000,APP->RADIO,basic,SET_HL,44,request,,payload=01,1,01
7,2026-08-27 19:59:48.897931,38.325,RADIO->APP,basic,SET_POSITION,32,response,success,payload=00,1,00
8,2026-08-27 19:59:48.898892,0.961,RADIO->APP,basic,GET_VOLUME,22,response,success,payload=00 00 0f,3,00 00 0f
9,2026-08-27 19:59:48.961574,62.682,RADIO->APP,basic,EVENT_NOTIFICATION,9,notification,,notification=htStatusChanged,5,01 84 01 00 00
10,2026-08-27 19:59:48.962760,1.186,RADIO->APP,basic,EVENT_NOTIFICATION,9,notification,,notification=freqModeStatusChanged,15,0e 00 00 00 00 00 00 00 00 00 00 00 00 00 00
11,2026-08-27 19:59:49.383216,420.456,RADIO->APP,basic,READ_SETTINGS,10,response,success,payload=00 5d 54 a7 47 1a 1e 1c a0 a1 01 0c 00 00 00 00 78 00 00 00 00 00 00,23,00 5d 54 a7 47 1a 1e 1c a0 a1 01 0c 00 00 00 00 78 00 00 00 00 00 00
12,2026-08-27 19:59:49.387889,4.673,RADIO->APP,basic,SET_HL,44,response,success,payload=00,1,00
13,2026-08-27 19:59:49.388894,1.005,APP->RADIO,basic,READ_RF_CH,13,request,,payload=00,1,00
14,2026-08-27 19:59:49.550282,161.388,RADIO->APP,basic,READ_RF_CH,13,response,success,payload=00 00 08 b9 46 c0 08 c2 6e 80 31 ba 31 ba d4 00 4f 54 56 41 52 43 00 00 00 00,26,00 00 08 b9 46 c0 08 c2 6e 80 31 ba 31 ba d4 00 4f 54 56 41 52 43 00 00 00 00
15,2026-08-27 19:59:49.555145,4.863,APP->RADIO,basic,READ_RF_CH,13,request,,payload=01,1,01
16,2026-08-27 19:59:49.780572,225.427,RADIO->APP,basic,READ_RF_CH,13,response,success,payload=00 01 1a 89 f9 d0 1a 3d ae 90 31 ba 31 ba d4 00 4f 54 56 41 52 43 32 00 00 00,26,00 01 1a 89 f9 d0 1a 3d ae 90 31 ba 31 ba d4 00 4f 54 56 41 52 43 32 00 00 00
17,2026-08-27 19:59:49.785425,4.853,APP->RADIO,basic,READ_RF_CH,13,request,,payload=02,1,02
